,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,-4.996577344540398e-06,-4.996577344540398e-06,0.0,-2.498288672270199e-06,0.0,-2.498288672259097e-05,-4.996577344540398e-06,7.494866016810597e-06,9.993154689080797e-06,-2.498288672270199e-06,4.996577344518194e-05,0.0,0.02304921129026616,0.006607973538126366,-4.996577344540398e-06,0.0,0.0,0.0,0.0,0.0,0.0,-4.247090742837134e-05,-0.0031753249024418784,0.0040772071131275345,0.0032527718512819215,0.001191683696667778,-0.0013415810170033238,0.09902466810234989,0.05980153594787574,7.494866016810597e-06,-4.996577344540398e-06,0.0,-0.00012741272228522504,0.007262525170258383,-0.00011741956759625527,0.00018737165041948778,0.0,-0.0013340861509866242,-0.0009993154689038608,0.0027331278074519405,-0.00028980148598212185,0.0,0.0,0.0,-1.998630937805057e-05,4.996577344540398e-06,0.0,-3.2477752739401566e-05,-3.4976041411671766e-05,-0.0018562284834887643,0.0005970909926700241,0.0,2.498288672270199e-06,7.494866016810597e-06,2.9979464067131367e-05,0.0018837096588836255,-9.743325821809368e-05,3.2477752739401566e-05,0.0,-2.498288672270199e-06,-2.498288672270199e-06,1.2491443361239973e-05,-4.996577344540398e-06,0.0,0.0,-4.996577344540398e-06
Linea eval Iter 1,-4.996577344540398e-06,-4.996577344540398e-06,0.0,-2.498288672270199e-06,0.0,-2.248459805032077e-05,-1.2491443361350996e-05,-2.498288672270199e-06,1.2491443361239973e-05,0.0,3.7474330083941965e-05,0.0,0.02305170957893843,0.006528028300614053,-2.498288672270199e-06,0.0,0.0,0.0,0.0,0.0,-2.498288672270199e-06,-4.746748477291174e-05,-0.003147843727047017,0.004124674597900446,0.003107871108290805,0.001231656315423879,-0.001508966358044761,0.0989672074628879,0.060236238176848866,4.996577344540398e-06,-4.996577344540398e-06,0.0,-0.000164887052369167,0.007150102180006668,-9.243668087355328e-05,0.00017737849573040698,0.0,-0.001394045079120776,-0.0010068103349205604,0.0029329909012326683,-0.00029979464067109163,0.0,0.0,0.0,-4.996577344540398e-06,7.494866016810597e-06,-4.996577344540398e-06,-7.494866016810597e-06,-7.494866016810597e-06,-0.00198114291710183,0.0005771046832919735,0.0,-2.498288672270199e-06,9.993154689080797e-06,3.997261875610114e-05,0.0020485967112527925,-9.493496954582348e-05,3.4976041411671766e-05,0.0,-4.996577344540398e-06,-2.498288672270199e-06,0.0,0.0,0.0,0.0,0.0
Linea eval Iter 2,-2.498288672270199e-06,-4.996577344540398e-06,0.0,-2.498288672270199e-06,0.0,-2.248459805032077e-05,-2.498288672270199e-06,4.996577344540398e-06,2.248459805032077e-05,-4.996577344540398e-06,5.246406211745214e-05,2.498288672270199e-06,0.02308418733167783,0.006528028300614053,-9.993154689080797e-06,0.0,0.0,0.0,0.0,0.0,-2.498288672270199e-06,-3.4976041411671766e-05,-0.003092881376257295,0.004347022289731495,0.0029979464067113604,0.0010992470157942247,-0.0013116015529361924,0.09918455857737452,0.0596341506068343,4.996577344540398e-06,-9.993154689080797e-06,0.0,-0.00013740587697430584,0.007125119293284077,-9.243668087355328e-05,0.00020985624846980855,0.0,-0.001166700809945187,-0.00100181375757602,0.002775598714880312,-0.0003272758160659528,0.0,0.0,0.0,-2.498288672270199e-06,-2.498288672270199e-06,0.0,-1.748802070578037e-05,-2.7481175394861168e-05,-0.0019361737210010777,0.0005596166625860821,-2.498288672270199e-06,0.0,-2.498288672270199e-06,4.247090742837134e-05,0.0018837096588836255,-9.993154689036388e-05,3.997261875610114e-05,0.0,-4.996577344540398e-06,-2.498288672270199e-06,4.996577344540398e-06,-4.996577344540398e-06,0.0,0.0,-4.996577344540398e-06
Linea eval Iter 3,-4.996577344540398e-06,-2.498288672270199e-06,0.0,-4.996577344540398e-06,0.0,-2.248459805032077e-05,-4.996577344540398e-06,-4.996577344540398e-06,-4.996577344540398e-06,-1.2491443361350996e-05,5.4962350789722336e-05,0.0,0.0228193687324183,0.006710403373689,-7.494866016810597e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.498288672259097e-05,-0.0032877478926934822,0.00422210785611854,0.002818069622308683,0.00122915802675172,-0.0012616357794910105,0.09909711847384539,0.06034366458975604,9.993154689080797e-06,-9.993154689080797e-06,0.0,-0.00014989732033554581,0.007122621004611807,-0.00012241614494068465,0.00018737165041948778,0.0,-0.0012616357794910105,-0.0010068103349205604,0.0026182065285279554,-0.0003447638367718442,0.0,0.0,0.0,-2.248459805032077e-05,9.993154689080797e-06,0.0,-3.2477752739401566e-05,-1.998630937805057e-05,-0.0018837096588836255,0.0005271389098467916,0.0,-4.996577344540398e-06,9.993154689080797e-06,1.748802070578037e-05,0.0019711497624127494,-0.00011492127892398507,2.7481175394861168e-05,0.0,-4.996577344540398e-06,-2.498288672270199e-06,9.993154689080797e-06,-2.498288672270199e-06,0.0,0.0,-2.498288672270199e-06
Linea eval Iter 4,-2.498288672270199e-06,-4.996577344540398e-06,0.0,-2.498288672270199e-06,0.0,-2.498288672259097e-05,-2.498288672270199e-06,1.2491443361239973e-05,7.494866016810597e-06,-1.4989732033510172e-05,5.9958928134262734e-05,2.498288672270199e-06,0.02307919075433329,0.006475564238496601,-4.996577344540398e-06,-2.498288672270199e-06,0.0,0.0,0.0,0.0,-2.498288672270199e-06,-3.2477752739401566e-05,-0.003347706820827745,0.004364510310437386,0.003132853995013396,0.00124414775878523,-0.0013890485017762355,0.09948934979539015,0.06000639561900101,4.996577344540398e-06,-7.494866016810597e-06,0.0,-0.00012991101095749524,0.0068553041166801165,-0.00012741272228522504,0.00018237507307494738,0.0,-0.001141717923222596,-0.0011067418818109243,0.0027955850242583624,-0.00039472961021702613,0.0,0.0,0.0,-4.996577344540398e-06,4.996577344540398e-06,0.0,-1.4989732033510172e-05,-2.9979464067131367e-05,-0.0019311771436566483,0.0005721081059474331,0.0,-7.494866016810597e-06,9.993154689080797e-06,9.993154689080797e-06,0.001953661741706969,-0.00011991785626841445,4.247090742837134e-05,0.0,-1.4989732033510172e-05,-2.498288672270199e-06,2.498288672270199e-06,0.0,0.0,-2.498288672270199e-06,-2.498288672270199e-06
Linea eval Iter 5,-2.498288672270199e-06,-4.996577344540398e-06,0.0,-2.498288672270199e-06,0.0,-2.498288672259097e-05,-4.996577344540398e-06,2.498288672270199e-06,4.996577344540398e-06,-2.498288672270199e-06,4.496919610064154e-05,0.0,0.02282936188710738,0.006682922198294139,-7.494866016810597e-06,0.0,0.0,0.0,0.0,0.0,-2.498288672270199e-06,-3.4976041411671766e-05,-0.003092881376257295,0.0042545856088579415,0.003007939561400441,0.0011517110779116768,-0.0013990416564653163,0.0991445859586183,0.05978154963849758,4.996577344540398e-06,-7.494866016810597e-06,0.0,-0.00018487336174721758,0.006837816095974225,-9.993154689036388e-05,0.00017488020705813678,0.0,-0.0012866186662136014,-0.0009843257368702396,0.0026456877039228166,-0.0003322723934104932,0.0,0.0,0.0,-1.4989732033510172e-05,2.498288672270199e-06,0.0,-2.248459805032077e-05,-1.748802070578037e-05,-0.0018712182155223855,0.0005171457551577108,0.0,-9.993154689080797e-06,2.498288672270199e-06,2.248459805032077e-05,0.001966153185068209,-9.493496954582348e-05,3.2477752739401566e-05,0.0,-4.996577344540398e-06,0.0,4.996577344540398e-06,-7.494866016810597e-06,0.0,0.0,-7.494866016810597e-06
Linea eval Iter 6,-2.498288672270199e-06,-2.498288672270199e-06,0.0,-4.996577344540398e-06,0.0,-2.7481175394861168e-05,-2.498288672270199e-06,0.0,1.998630937805057e-05,-4.996577344540398e-06,6.495550547869211e-05,0.0,0.022956774609392605,0.00671290166236127,0.0,-2.498288672270199e-06,0.0,0.0,0.0,0.0,0.0,-3.4976041411671766e-05,-0.0031153659743076156,0.004197124969395949,0.0030504104688288125,0.0011617042326006466,-0.0014365159865492583,0.0987323683276955,0.06049356191009159,4.996577344540398e-06,-4.996577344540398e-06,0.0,-0.00014989732033554581,0.006977720261620801,-0.00011492127892398507,0.00020985624846980855,0.0,-0.0011592059439283764,-0.0009243668087359769,0.0027855918695693926,-0.00036724843482216496,0.0,0.0,0.0,-7.494866016810597e-06,1.4989732033510172e-05,0.0,-9.993154689080797e-06,-2.9979464067131367e-05,-0.0018187541534049334,0.0005646132399306225,0.0,-7.494866016810597e-06,1.4989732033510172e-05,1.998630937805057e-05,0.0019561600303792392,-0.00010492812423490427,2.9979464067131367e-05,0.0,0.0,0.0,4.996577344540398e-06,-2.498288672270199e-06,2.498288672270199e-06,0.0,-4.996577344540398e-06
Linea eval Iter 7,-4.996577344540398e-06,-2.498288672270199e-06,0.0,-4.996577344540398e-06,0.0,-1.2491443361350996e-05,-4.996577344540398e-06,-4.996577344540398e-06,9.993154689080797e-06,0.0,4.746748477291174e-05,0.0,0.022976760918770656,0.006445584774429469,-9.993154689080797e-06,0.0,0.0,0.0,0.0,0.0,0.0,-4.496919610064154e-05,-0.0032427786965928407,0.004259582186202482,0.0030629019121901635,0.0012341546040961493,-0.0012791238001969019,0.10002648185992591,0.060063856258463,2.498288672270199e-06,-7.494866016810597e-06,0.0,-0.000152395609007816,0.007295002922997784,-8.74401035291239e-05,0.00019736480510845755,0.0,-0.0010867555724328737,-0.0009543462728031082,0.0028205679109809534,-0.0003372689707550336,0.0,0.0,0.0,-9.993154689080797e-06,1.2491443361239973e-05,0.0,-1.998630937805057e-05,-3.2477752739401566e-05,-0.0019336754323288075,0.0006420601887706656,0.0,-2.498288672270199e-06,1.2491443361239973e-05,3.997261875610114e-05,0.002006125803824421,-8.74401035291239e-05,3.2477752739401566e-05,0.0,-4.996577344540398e-06,-2.498288672270199e-06,7.494866016810597e-06,-2.498288672270199e-06,0.0,0.0,-4.996577344540398e-06
Linea eval Iter 8,-2.498288672270199e-06,-4.996577344540398e-06,0.0,-4.996577344540398e-06,0.0,-1.998630937805057e-05,-4.996577344540398e-06,2.498288672270199e-06,9.993154689080797e-06,-7.494866016810597e-06,5.7460639461992535e-05,0.0,0.02306669931097194,0.006655441022899278,-7.494866016810597e-06,0.0,0.0,0.0,0.0,0.0,-2.498288672270199e-06,-3.2477752739401566e-05,-0.0031928129231476587,0.004164647216656547,0.0030728950668791333,0.00124414775878523,-0.0013290895736420838,0.099631752249709,0.059476758420481945,0.0,-9.993154689080797e-06,0.0,-0.00019736480510845755,0.007384941315199067,-9.243668087355328e-05,0.0001623887636968968,0.0,-0.0012866186662136014,-0.0010317932216431513,0.002763107271518961,-0.00036475014614989476,0.0,0.0,0.0,-1.998630937805057e-05,1.2491443361239973e-05,0.0,-1.998630937805057e-05,-2.498288672259097e-05,-0.0019136891229507569,0.0005771046832919735,-2.498288672270199e-06,4.996577344540398e-06,2.498288672270199e-06,1.748802070578037e-05,0.002103559062042515,-8.99383922013941e-05,2.498288672259097e-05,0.0,-4.996577344540398e-06,-2.498288672270199e-06,0.0,-2.498288672270199e-06,0.0,0.0,-2.498288672270199e-06
Linea eval Iter 9,-2.498288672270199e-06,-4.996577344540398e-06,0.0,-4.996577344540398e-06,0.0,-1.4989732033510172e-05,-4.996577344540398e-06,4.996577344540398e-06,9.993154689080797e-06,-2.498288672270199e-06,5.246406211745214e-05,0.0,0.022754413226939496,0.006647946156882578,-2.498288672270199e-06,0.0,0.0,0.0,0.0,0.0,0.0,-4.247090742837134e-05,-0.003270259871987702,0.004289561650269613,0.0030629019121901635,0.0011342230572057854,-0.0013865502131040763,0.09924701579418094,0.05962915402948976,4.996577344540398e-06,-7.494866016810597e-06,0.0,-0.00017238191838586658,0.007152600468678938,-6.745379415096231e-05,0.00021735111448661915,0.0,-0.0012891169548858716,-0.0009693360048367294,0.0027481175394854507,-0.0003247775273937936,0.0,0.0,0.0,-1.2491443361350996e-05,9.993154689080797e-06,-2.498288672270199e-06,-2.248459805032077e-05,-1.998630937805057e-05,-0.0019236822776398377,0.0005546200852416527,-2.498288672270199e-06,2.498288672270199e-06,0.0,3.997261875610114e-05,0.002031108690547012,-0.00011991785626841445,3.7474330083941965e-05,0.0,-4.996577344540398e-06,-2.498288672270199e-06,1.2491443361239973e-05,-2.498288672270199e-06,2.498288672270199e-06,-2.498288672270199e-06,-2.498288672270199e-06
