,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Rando eval Iter 0,-3.4976041411616254e-05,0.0,0.0,0.0009818274481979972,3.747433008391421e-05,7.494866016782842e-06,0.0002173511144865914,-4.996577344512643e-06,3.497604141164401e-05,-1.998630937805057e-05,0.001399041656465344,-1.2491443361295484e-05,0.0,0.0,-3.247775273937381e-05,0.0,0.0,0.0,0.001508966358044761,0.0,-0.00017987678440267718,-4.996577344518194e-05,0.0022109854749496616,-3.247775273937381e-05,0.0022784392691006794,0.0022884324237897047,0.0,0.0,0.0,-2.7481175394833413e-05,-1.2491443361295484e-05,0.0,0.002293429001134245,0.0,0.0,0.0,0.0,9.993154689053041e-06,2.9979464067131367e-05,0.002343394774579427,0.002333401619890374,2.498288672270199e-06,0.0,-4.996577344518194e-05,-7.494866016755086e-06,3.247775273937381e-05,-2.4982886722424436e-06,-4.996577344512643e-06,1.7488020705835883e-05,0.0,7.494866016782842e-06,-7.494866016755086e-06,-4.996577344512643e-06,0.0,3.497604141164401e-05,-2.4982886722424436e-06,0.0,0.0,0.0,5.4962350789722336e-05,1.249144336132324e-05,0.0,-4.996577344512643e-06,0.0,0.0,2.498288672270199e-06
Rando eval Iter 1,-3.7474330083886453e-05,0.0,0.0,0.0010867555724329014,4.496919610069705e-05,9.993154689053041e-06,0.0002148528258143212,4.996577344540398e-06,4.247090742842685e-05,2.498288672270199e-06,0.0014165296771711522,-7.494866016755086e-06,0.0,0.0,-1.4989732033537928e-05,0.0,0.0,0.0,0.001533949244767352,0.0,-0.00020485967112526815,-4.996577344518194e-05,0.0021909991655715833,-1.998630937805057e-05,0.0022509580937058182,0.002308418733167783,-1.2491443361295484e-05,0.0,0.0,-1.4989732033537928e-05,-2.4982886722424436e-06,0.0,0.002255954671050331,-2.4982886722424436e-06,0.0,0.0,0.0,4.996577344540398e-06,4.247090742842685e-05,0.002315913599184566,0.0023309033312181315,2.498288672270199e-06,0.0,-5.995892813420722e-05,-9.993154689025285e-06,4.247090742842685e-05,-7.494866016755086e-06,1.4989732033565684e-05,1.249144336132324e-05,0.0,2.498288672270199e-06,-9.993154689025285e-06,-9.993154689025285e-06,0.0,2.2484598050348525e-05,-2.4982886722424436e-06,0.0,0.0,0.0,4.7467484772939494e-05,1.7488020705835883e-05,0.0,7.494866016782842e-06,0.0,0.0,2.498288672270199e-06
Rando eval Iter 2,-3.7474330083886453e-05,0.0,0.0,0.0010867555724329014,3.747433008391421e-05,4.996577344540398e-06,0.00017488020705816454,-7.494866016755086e-06,3.247775273937381e-05,-7.494866016755086e-06,0.0013565707490369172,-9.993154689025285e-06,0.0,0.0,-0.00010492812423487652,0.0,0.0,0.0,0.001533949244767352,0.0,-0.00018487336174718982,-2.7481175394833413e-05,0.0021959957429161236,-2.498288672259097e-05,0.0022459615163613056,0.0022809375577729496,-9.993154689025285e-06,0.0,0.0,-2.498288672259097e-05,-4.996577344512643e-06,0.0,0.002283435846445192,-2.4982886722424436e-06,0.0,0.0,0.0,0.0,3.747433008391421e-05,0.0023234084652013487,0.002343394774579427,0.0,0.0,-4.4969196100669295e-05,0.0,2.9979464067131367e-05,-2.4982886722424436e-06,1.7488020705835883e-05,2.9979464067131367e-05,0.0,9.993154689053041e-06,-7.494866016755086e-06,-9.993154689025285e-06,0.0,3.997261875615665e-05,0.0,0.0,0.0,0.0,4.9965773445209694e-05,9.993154689053041e-06,0.0,2.498288672270199e-06,0.0,2.498288672270199e-06,2.498288672270199e-06
Rando eval Iter 3,-3.247775273937381e-05,0.0,0.0,0.0010692675517270933,3.997261875615665e-05,9.993154689053041e-06,0.0002173511144865914,-7.494866016755086e-06,2.4982886722618725e-05,-1.998630937805057e-05,0.0014265228318601775,-1.4989732033537928e-05,0.0,0.0,-3.247775273937381e-05,0.0,0.0,0.0,0.0014714920279608468,0.0,-0.0002098562484697808,-3.7474330083886453e-05,0.0021959957429161236,-2.997946406710361e-05,0.0022734426917561668,0.002240964939016793,0.0,0.0,0.0,-7.494866016755086e-06,-2.4982886722424436e-06,0.0,0.0022734426917561668,2.498288672270199e-06,0.0,0.0,0.0,7.494866016782842e-06,4.247090742842685e-05,0.0023284050425458613,0.002300923867151028,2.498288672270199e-06,0.0,-4.2470907428399096e-05,-1.4989732033537928e-05,3.247775273937381e-05,-2.4982886722424436e-06,-1.2491443361295484e-05,7.494866016782842e-06,0.0,7.494866016782842e-06,-9.993154689025285e-06,-4.996577344512643e-06,0.0,9.993154689053041e-06,0.0,0.0,0.0,0.0,4.7467484772939494e-05,0.0,0.0,7.494866016782842e-06,0.0,0.0,0.0
Rando eval Iter 4,-3.7474330083886453e-05,0.0,0.0,0.0009618411388199188,3.997261875615665e-05,1.4989732033565684e-05,0.00016738534104140945,-2.4982886722424436e-06,3.747433008391421e-05,-4.996577344512643e-06,0.0014190279658434224,-4.996577344512643e-06,0.0,0.0,-5.496235078969458e-05,0.0,0.0,0.0,0.0015364475334395944,0.0,-0.00020735795979753835,-4.996577344518194e-05,0.0022184803409664444,-3.247775273937381e-05,0.002283435846445192,0.0022634495370671137,-1.2491443361295484e-05,0.0,0.0,-1.4989732033537928e-05,0.0,0.0,0.002265947825739384,2.498288672270199e-06,0.0,0.0,0.0,0.0,3.747433008391421e-05,0.0023034221558232704,0.002308418733167783,0.0,0.0,-5.496235078969458e-05,-1.2491443361295484e-05,3.747433008391421e-05,-4.996577344512643e-06,-4.996577344512643e-06,4.996577344540398e-06,0.0,7.494866016782842e-06,-1.2491443361295484e-05,-1.4989732033537928e-05,0.0,1.4989732033565684e-05,-2.4982886722424436e-06,0.0,0.0,0.0,5.995892813423498e-05,9.993154689053041e-06,0.0,9.993154689053041e-06,0.0,0.0,0.0
Rando eval Iter 5,-2.248459805032077e-05,0.0,0.0,0.001159205943928432,4.247090742842685e-05,1.4989732033565684e-05,0.0002048596711252959,-4.996577344512643e-06,3.747433008391421e-05,-1.998630937805057e-05,0.0014440108525660134,-4.996577344512643e-06,0.0,0.0,-1.998630937805057e-05,0.0,0.0,0.0,0.0015789184408680212,0.0,-0.00020735795979753835,-5.246406211742438e-05,0.0021785077222102878,-2.498288672259097e-05,0.0022109854749496616,0.0022784392691006794,-9.993154689025285e-06,0.0,0.0,-1.2491443361295484e-05,-4.996577344512643e-06,0.0,0.002275940980428409,0.0,0.0,0.0,0.0,1.4989732033565684e-05,3.247775273937381e-05,0.0023383981972349144,0.0023383981972349144,2.498288672270199e-06,0.0,-4.2470907428399096e-05,-1.998630937805057e-05,2.7481175394861168e-05,0.0,2.498288672270199e-06,2.4982886722618725e-05,0.0,9.993154689053041e-06,-4.996577344512643e-06,-1.2491443361295484e-05,0.0,1.9986309378078326e-05,0.0,0.0,0.0,0.0,4.9965773445209694e-05,1.249144336132324e-05,0.0,4.996577344540398e-06,0.0,0.0,4.996577344540398e-06
Rando eval Iter 6,-2.7481175394833413e-05,0.0,0.0,0.001091752149777414,3.747433008391421e-05,9.993154689053041e-06,0.00017488020705816454,-1.4989732033537928e-05,2.2484598050348525e-05,-4.996577344512643e-06,0.0013815536357595082,-1.7488020705808127e-05,0.0,0.0,-3.247775273937381e-05,0.0,0.0,0.0,0.001473990316633117,0.0,-0.0002448322898814248,-5.746063946196478e-05,0.0021710128561935327,-2.498288672259097e-05,0.0022434632276890354,0.0022984255784787577,-1.4989732033537928e-05,0.0,0.0,-1.2491443361295484e-05,0.0,0.0,0.002268446114411654,0.0,0.0,0.0,0.0,-9.993154689025285e-06,2.9979464067131367e-05,0.002335899908562644,0.0023134153105123234,0.0,0.0,-6.745379415099007e-05,-4.996577344512643e-06,3.997261875615665e-05,-4.996577344512643e-06,-2.4982886722424436e-06,2.4982886722618725e-05,0.0,7.494866016782842e-06,-2.4982886722424436e-06,-9.993154689025285e-06,0.0,1.9986309378078326e-05,2.498288672270199e-06,0.0,0.0,0.0,5.246406211745214e-05,4.996577344540398e-06,0.0,2.498288672270199e-06,0.0,2.498288672270199e-06,2.498288672270199e-06
Rando eval Iter 7,-2.997946406710361e-05,0.0,0.0,0.0011292264798613005,3.997261875615665e-05,1.7488020705835883e-05,0.00019486651643624286,2.498288672270199e-06,7.494866016782842e-06,-1.2491443361295484e-05,0.0013815536357595082,-7.494866016755086e-06,0.0,0.0,-7.74469488400431e-05,0.0,0.0,0.0,0.0015464406881286474,0.0,-0.0001998630937807555,-4.2470907428399096e-05,0.002156023124159967,-2.7481175394833413e-05,0.0022284734956554975,0.0022884324237897047,-9.993154689025285e-06,0.0,0.0,-2.997946406710361e-05,-2.4982886722424436e-06,0.0,0.002275940980428409,-2.4982886722424436e-06,0.0,0.0,0.0,-2.4982886722424436e-06,3.997261875615665e-05,0.002300923867151028,0.002340896485907157,0.0,0.0,-4.4969196100669295e-05,-1.998630937805057e-05,1.9986309378078326e-05,-2.4982886722424436e-06,9.993154689053041e-06,1.9986309378078326e-05,0.0,9.993154689053041e-06,-1.2491443361295484e-05,-1.2491443361295484e-05,0.0,1.249144336132324e-05,0.0,0.0,0.0,0.0,4.247090742842685e-05,2.498288672270199e-06,0.0,2.498288672270199e-06,0.0,0.0,2.498288672270199e-06
Rando eval Iter 8,-2.7481175394833413e-05,0.0,0.0,0.0010942504384496843,3.997261875615665e-05,1.4989732033565684e-05,0.00019486651643624286,-4.996577344512643e-06,2.9979464067131367e-05,-1.2491443361295484e-05,0.0014814851826498998,-1.2491443361295484e-05,0.0,0.0,-2.997946406710361e-05,0.0,0.0,0.0,0.0014590005845995513,0.0,-0.00020236138245299795,-2.498288672259097e-05,0.0021510265468154544,-2.248459805032077e-05,0.002268446114411654,0.002275940980428409,-2.4982886722424436e-06,0.0,0.0,-1.2491443361295484e-05,-7.494866016755086e-06,0.0,0.0022809375577729496,-7.494866016755086e-06,0.0,0.0,0.0,-4.996577344512643e-06,3.497604141164401e-05,0.0023383981972349144,0.0023558862179407225,0.0,0.0,-6.245721680647742e-05,0.0,2.7481175394861168e-05,-2.4982886722424436e-06,-2.4982886722424436e-06,-2.4982886722424436e-06,0.0,1.4989732033565684e-05,-2.4982886722424436e-06,-1.7488020705808127e-05,0.0,9.993154689053041e-06,0.0,0.0,0.0,0.0,4.496919610069705e-05,0.0,0.0,7.494866016782842e-06,0.0,0.0,4.996577344540398e-06
Rando eval Iter 9,-3.99726187561289e-05,0.0,0.0,0.0010442846650044746,3.997261875615665e-05,2.498288672270199e-06,0.00019486651643624286,-7.494866016755086e-06,3.497604141164401e-05,-7.494866016755086e-06,0.0014015399451375865,-1.4989732033537928e-05,0.0,0.0,-6.745379415099007e-05,0.0,0.0,0.0,0.0014939766260111953,0.0,-0.00020735795979753835,-5.246406211742438e-05,0.002183504299554828,-2.997946406710361e-05,0.002255954671050331,0.0022184803409664444,-7.494866016755086e-06,-2.4982886722424436e-06,0.0,-2.248459805032077e-05,-4.996577344512643e-06,0.0,0.002315913599184566,-2.4982886722424436e-06,0.0,0.0,0.0,0.0,2.4982886722618725e-05,0.002335899908562644,0.0023309033312181315,0.0,0.0,-4.2470907428399096e-05,-2.4982886722424436e-06,2.2484598050348525e-05,0.0,4.996577344540398e-06,1.4989732033565684e-05,0.0,1.249144336132324e-05,-2.4982886722424436e-06,-1.7488020705808127e-05,0.0,1.4989732033565684e-05,-2.4982886722424436e-06,0.0,0.0,0.0,4.247090742842685e-05,7.494866016782842e-06,0.0,-2.4982886722424436e-06,0.0,2.498288672270199e-06,2.498288672270199e-06
