,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,0.0,-0.0021289253104821992,-0.0006383433819499018,-1.336844778948576e-05,-0.0002540005080010066,0.0,-4.01053433685683e-05,5.681590310552265e-05,-1.336844778948576e-05,3.676323142121074e-05,-0.020390224990976258,-0.0009792388005828712,-0.03425998957261073,-0.03983797441279091,-4.3447455315925865e-05,9.357913452667788e-05,-0.00033086908279078564,-0.0003642902022645833,-0.00024063206021146533,0.0,3.3421119474130734e-06,0.00010360547036886159,-0.06546863093726185,-0.060990200927770244,-0.06583960536342126,-0.004792588532545494,-0.006106038527866509,-0.023538494445409952,-0.023682205259147326,-6.684223894770636e-06,-2.673689557902703e-05,0.0,-0.06276152025988263,-0.0469600149726615,-0.0659031054904215,6.684223894765084e-05,-4.3447455315925865e-05,-0.005170247182599619,-0.006991698193922702,-0.06561902597489405,-0.003950376321805282,-0.06323275804446343,-0.00022057938852720893,-3.3421119473575622e-06,-0.0010393968156356959,-0.0019050038100076327,-0.0001838161571059982,-0.0006283170461077736,-0.0006182907102655899,-0.001771319332112331,-4.01053433685683e-05,2.339478363166947e-05,3.0079007526440105e-05,4.01053433685683e-05,-0.004404903546649186,-0.06575605256473671,2.0052671684311907e-05,-0.06586300014705293,-2.0052671684256396e-05,-7.018435089500841e-05,-7.686857478977904e-05,5.3473791158109574e-05,-9.692124647403544e-05,-3.676323142121074e-05,-5.01316792106965e-05,5.681590310552265e-05
Linea eval Iter 1,0.0,-0.0020620830715345484,-0.0006617381655815713,-1.0026335842128198e-05,-0.00025734261994836416,0.0,-4.678956726333894e-05,6.015801505288021e-05,3.0079007526440105e-05,5.3473791158109574e-05,-0.020564014812240128,-0.0009658703527933299,-0.03281953932328918,-0.04104113471384835,-4.3447455315925865e-05,9.023702257932031e-05,-0.0003475796425276845,-0.0003843428739488952,-0.00024063206021146533,0.0,-6.684223894770636e-06,0.00011363180621098978,-0.06533160434741919,-0.06138791224950868,-0.06573934200499981,-0.004822667540071934,-0.006196275550445829,-0.023892758311832407,-0.023234362258198193,-1.336844778948576e-05,-6.684223894770636e-06,0.0,-0.06304559977541008,-0.04750812133203214,-0.06600002673689559,0.00011697391815840286,-5.6815903105467136e-05,-0.005196984078178646,-0.006821250484606245,-0.06590978971431627,-0.003950376321805282,-0.06348007432856967,-0.00022726361242192405,-3.3421119473575622e-06,-0.0010627915992674208,-0.00184818790690211,-0.00016376348542168628,-0.0005648169191075358,-0.0005347379115810957,-0.0016543454139539837,-4.3447455315925865e-05,1.0026335842183709e-05,4.01053433685683e-05,2.339478363166947e-05,-0.004471745785596837,-0.06597663195326392,6.684223894770636e-06,-0.06621392190152797,6.684223894770636e-06,-0.00011028969426357671,-7.352646284236597e-05,5.681590310552265e-05,-0.00011697391815834735,-2.673689557902703e-05,-3.676323142121074e-05,7.352646284242148e-05
Linea eval Iter 2,0.0,-0.0022258465569562347,-0.0006583960536342137,-1.336844778948576e-05,-0.0002540005080010066,0.0,-4.678956726333894e-05,5.681590310552265e-05,3.0079007526440105e-05,4.678956726333894e-05,-0.02045706722992391,-0.0009257650094247616,-0.03365172519818721,-0.04085063433284758,-5.01316792106965e-05,9.692124647409095e-05,-0.0003141585230538868,-0.00036094809031722574,-0.0002506583960535935,0.0,-1.0026335842128198e-05,0.00010694758231621915,-0.06490715613010173,-0.061184043420718426,-0.06580284213200005,-0.005036562704704317,-0.006520460409341844,-0.024831891769046655,-0.023157493683408414,-3.3421119473575622e-06,-1.0026335842128198e-05,0.0,-0.06243733540098656,-0.047070304666925133,-0.06611700065505394,9.357913452667788e-05,-4.678956726333894e-05,-0.005126799727283637,-0.006841303156290501,-0.0659532371696322,-0.0040573239041215015,-0.06366389048567567,-0.00022057938852720893,0.0,-0.0009892651364249994,-0.0019083459219549903,-0.00017378982126381448,-0.0006182907102655899,-0.000571501143002251,-0.001821451011323083,2.339478363166947e-05,1.0026335842183709e-05,1.3368447789541271e-05,3.342111947385318e-05,-0.004224429501490545,-0.06557892063152548,1.3368447789541271e-05,-0.06618384289400159,-1.6710559736898833e-05,-0.00010026335842144851,-0.00012700025400047554,6.015801505288021e-05,-9.023702257932031e-05,-6.684223894770636e-06,-4.3447455315925865e-05,5.013167921075201e-05
Linea eval Iter 3,0.0,-0.002088819967113631,-0.0006583960536342137,-1.336844778948576e-05,-0.00025734261994836416,0.0,-5.01316792106965e-05,3.0079007526440105e-05,4.01053433685683e-05,5.3473791158109574e-05,-0.02054396214055587,-0.0009525019050037886,-0.03363501463845031,-0.040245712070371475,-5.01316792106965e-05,9.357913452667788e-05,-0.0003342111947381432,-0.0003676323142119964,-0.00023060572436933713,0.0,-3.3421119473575622e-06,0.00012365814205311798,-0.06535499913105086,-0.061284306779139874,-0.06574602622889453,-0.004846062323703604,-0.006634092215552834,-0.024865312888520508,-0.023067256660829094,1.0026335842183709e-05,-1.6710559736898833e-05,0.0,-0.06258104621472399,-0.0469600149726615,-0.06602342152052726,8.355279868454968e-05,-5.6815903105467136e-05,-0.005066641712230757,-0.006854671604080043,-0.06598331617715864,-0.004017218560752878,-0.06342994264935897,-0.0002239215004745665,-3.3421119473575622e-06,-0.001069475823162136,-0.0019183722577971185,-0.00016376348542168628,-0.0006684223894763419,-0.0006116064863708748,-0.0016242664064275436,-6.350012700023777e-05,1.6710559736898833e-05,2.0052671684311907e-05,1.0026335842183709e-05,-0.004364798203280618,-0.06584963169926339,2.6736895579082542e-05,-0.06604681630415893,-6.684223894770636e-06,-8.689491063190724e-05,-9.023702257932031e-05,4.01053433685683e-05,-0.00013702658984265925,-6.684223894770636e-06,-4.01053433685683e-05,4.678956726333894e-05
Linea eval Iter 4,0.0,-0.002095504191008346,-0.0006550539416868006,-1.336844778948576e-05,-0.0002506583960535935,0.0,-4.3447455315925865e-05,6.684223894765084e-05,4.678956726333894e-05,4.3447455315981376e-05,-0.02044704089408178,-0.0009658703527933299,-0.03333756667513332,-0.03979118484552757,-4.678956726333894e-05,0.00011028969426363222,-0.00033086908279078564,-0.000374316538106767,-0.0002439741721588784,0.0,0.0,0.00012365814205311798,-0.06552210472841996,-0.061194069756560554,-0.06583960536342126,-0.00480595698033498,-0.006343328476130616,-0.024173495715412496,-0.02352512599762041,-3.3421119473575622e-06,-1.336844778948576e-05,0.0,-0.06260444099835566,-0.04718727858508348,-0.06630415892410729,0.00010026335842144851,-3.676323142121074e-05,-0.005384142347232057,-0.006878066387711712,-0.06627742202852827,-0.003886876194804989,-0.06361710091841233,-0.00020386882879025459,0.0,-0.0010861863828990903,-0.001945109153376201,-0.00019050038100076883,-0.0006416854938973149,-0.0006517118297394431,-0.0017546087723754322,-4.01053433685683e-05,2.0052671684311907e-05,3.0079007526440105e-05,2.6736895579082542e-05,-0.0043347191957541775,-0.06522799887705039,9.023702257932031e-05,-0.06569923666163119,-2.0052671684256396e-05,-9.357913452667788e-05,-0.00011363180621098978,4.01053433685683e-05,-0.00011697391815834735,-2.339478363166947e-05,-4.3447455315925865e-05,6.350012700029328e-05
Linea eval Iter 5,0.0,-0.002095504191008346,-0.0006450276058446724,-1.336844778948576e-05,-0.0002439741721588784,0.0,-4.3447455315925865e-05,5.3473791158109574e-05,-1.0026335842128198e-05,4.3447455315981376e-05,-0.02048714623745035,-0.0009591861288985593,-0.03327740866008044,-0.03995494833094926,-3.676323142121074e-05,9.357913452667788e-05,-0.0003442375305803269,-0.0003642902022645833,-0.00024731628410623596,0.0,-2.0052671684256396e-05,0.00011028969426363222,-0.06542852559389328,-0.0611272275176129,-0.06605684264000106,-0.004809299092282393,-0.006446933946499478,-0.025242971538574632,-0.023347994064409183,0.0,-2.0052671684256396e-05,0.0,-0.06336644252235873,-0.047367752630242066,-0.06605015841610629,9.357913452667788e-05,-5.01316792106965e-05,-0.005354063339705617,-0.006988356081975289,-0.06633758004358115,-0.004064008128016217,-0.06339317941793776,-0.00020386882879025459,-3.3421119473575622e-06,-0.0010795021590043197,-0.0019116880339023479,-0.00018715826905335575,-0.0007753699717925611,-0.0006550539416868006,-0.0016409769661644424,-7.352646284236597e-05,1.6710559736898833e-05,3.342111947385318e-05,5.013167921075201e-05,-0.004391535098859645,-0.0658228948036843,4.01053433685683e-05,-0.06580284213200005,-3.3421119473575622e-06,-0.00011363180621098978,-5.01316792106965e-05,3.676323142121074e-05,-0.00013702658984265925,-4.3447455315925865e-05,-4.01053433685683e-05,6.350012700029328e-05
Linea eval Iter 6,0.0,-0.001988556608692127,-0.00064836971779203,-1.0026335842128198e-05,-0.0002506583960535935,0.0,-4.01053433685683e-05,6.684223894765084e-05,2.0052671684311907e-05,4.3447455315981376e-05,-0.02036683020734459,-0.0009357913452668898,-0.03353809339197622,-0.040399449219951034,-5.01316792106965e-05,9.023702257932031e-05,-0.0003442375305803269,-0.000374316538106767,-0.00024731628410623596,0.0,-6.684223894770636e-06,0.00011697391815840286,-0.06529149900405062,-0.06184243947435264,-0.06566581554215739,-0.004946325682125052,-0.006102696415919151,-0.02542010347178586,-0.02364878413967353,1.0026335842183709e-05,-1.6710559736898833e-05,0.0,-0.06300883654398887,-0.04762175313824313,-0.06622394823737016,5.013167921075201e-05,-7.686857478977904e-05,-0.0052036683020734165,-0.007028461425343913,-0.06596660561742174,-0.004080718687753171,-0.06321938959667389,-0.00022057938852720893,0.0,-0.0010594494873200078,-0.0018983195861128621,-0.00018047404515858512,-0.0005648169191075358,-0.0006149485983182323,-0.0017947141157440005,-6.684223894770636e-06,2.0052671684311907e-05,2.0052671684311907e-05,4.01053433685683e-05,-0.004398219322754415,-0.06528481478015585,1.6710559736898833e-05,-0.06602007940857985,-3.3421119473575622e-06,-0.00010026335842144851,-9.023702257932031e-05,3.676323142121074e-05,-0.00011697391815834735,-3.676323142121074e-05,-4.3447455315925865e-05,6.684223894765084e-05
Linea eval Iter 7,0.0,-0.0020921620790609885,-0.0006617381655815713,-1.336844778948576e-05,-0.0002640268438431348,0.0,-4.678956726333894e-05,5.013167921075201e-05,1.3368447789541271e-05,6.350012700029328e-05,-0.02047043567771345,-0.0009525019050037886,-0.03350801438444978,-0.039811237517211884,-4.678956726333894e-05,0.00010694758231621915,-0.0003442375305803269,-0.00037097442615935394,-0.0002439741721588784,0.0,0.0,0.00011697391815840286,-0.06518789353368182,-0.06134780690614011,-0.06562236808684141,-0.0049830889135462075,-0.0060759595203400685,-0.024858628664625737,-0.023247730705987735,-1.0026335842128198e-05,-1.6710559736898833e-05,0.0,-0.06294199430504122,-0.04753151611566381,-0.06572263144526286,8.021068673719212e-05,-5.6815903105467136e-05,-0.0054275898025480385,-0.006787829365132392,-0.06592650027405317,-0.00406735023996363,-0.06332299506704275,-0.0002138951646324383,0.0,-0.001072817935109549,-0.0018916353622180915,-0.00020386882879025459,-0.0006884750611606538,-0.0006316591580551312,-0.0016844244214804238,-9.023702257932031e-05,1.3368447789541271e-05,2.6736895579082542e-05,1.0026335842183709e-05,-0.004548614360386616,-0.06551207839257783,-1.336844778948576e-05,-0.06585965803510552,-6.684223894770636e-06,-8.689491063190724e-05,-7.686857478977904e-05,5.013167921075201e-05,-0.00010360547036880607,-3.676323142121074e-05,-4.01053433685683e-05,5.681590310552265e-05
Linea eval Iter 8,0.0,-0.002202451773324565,-0.0006249749341603605,-1.336844778948576e-05,-0.0002506583960535935,0.0,-4.678956726333894e-05,5.013167921075201e-05,3.676323142121074e-05,4.678956726333894e-05,-0.02050719890913466,-0.0009625282408459168,-0.033230619092817104,-0.0404228440035827,-4.678956726333894e-05,9.692124647409095e-05,-0.0003475796425276845,-0.0003676323142119964,-0.00023728994826410776,0.0,-1.336844778948576e-05,0.00011363180621098978,-0.06533160434741919,-0.06130101733887677,-0.06622729034931751,-0.004929615122388098,-0.006406828603130854,-0.024357311872518494,-0.022793203481143776,-1.0026335842128198e-05,-1.6710559736898833e-05,0.0,-0.06280496771519856,-0.047551568787348064,-0.0662874483643704,6.350012700029328e-05,-7.352646284236597e-05,-0.005163562958704848,-0.006958277074448849,-0.06610697431921181,-0.003940349985963099,-0.06369396949320211,-0.00022057938852720893,0.0,-0.0010360547036883383,-0.0019217143697445316,-0.00018715826905335575,-0.0006817908372658832,-0.0005681590310548934,-0.0015440557196903515,-4.678956726333894e-05,1.0026335842183709e-05,1.6710559736898833e-05,6.015801505288021e-05,-0.004247824285122215,-0.06515447241420796,3.676323142121074e-05,-0.06556221007178853,-1.336844778948576e-05,-0.00011028969426357671,-8.355279868454968e-05,4.678956726333894e-05,-0.00010694758231621915,-6.684223894770636e-06,-5.01316792106965e-05,6.015801505288021e-05
Linea eval Iter 9,0.0,-0.002336136251219867,-0.00064836971779203,-1.336844778948576e-05,-0.00023728994826410776,0.0,-4.3447455315925865e-05,7.018435089500841e-05,2.339478363166947e-05,6.350012700029328e-05,-0.02050051468523989,-0.0009357913452668898,-0.03331751400344907,-0.040345975428792924,-4.678956726333894e-05,8.355279868454968e-05,-0.0003375533066855563,-0.0003642902022645833,-0.00023728994826410776,0.0,-1.0026335842128198e-05,0.00012031603010576042,-0.0650809459513656,-0.061337780570297984,-0.06587971070678983,-0.004986431025493621,-0.005918880258813153,-0.02441746988757132,-0.023378073071935623,0.0,-1.0026335842128198e-05,0.0,-0.06301552076788364,-0.04756159512319025,-0.06584294747536862,9.357913452667788e-05,-5.3473791158109574e-05,-0.005257142093231526,-0.006634092215552834,-0.06569255243773642,-0.004137534590858638,-0.06371402216488642,-0.00022057938852720893,-6.684223894770636e-06,-0.0010494231514778796,-0.0019016616980602197,-0.00019718460489553946,-0.0006182907102655899,-0.0006450276058446724,-0.0016510033020065706,-3.676323142121074e-05,1.6710559736898833e-05,1.6710559736898833e-05,2.339478363166947e-05,-0.004525219576754946,-0.06559228907931497,6.350012700029328e-05,-0.06577944734836838,-2.0052671684256396e-05,-0.00010360547036880607,-0.00011697391815834735,5.013167921075201e-05,-0.00010026335842144851,-3.0079007526440105e-05,-4.3447455315925865e-05,6.015801505288021e-05
