,hrv_mean,hrv_std,hrv_min,hrv_max,hrv_ptp,hrv_sum,hrv_energy,hrv_skewness,hrv_kurtosis,hrv_peaks,hrv_rms,hrv_lineintegral,hrv_n_above_mean,hrv_n_below_mean,hrv_n_sign_changes,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_entropy,hrv_perm_entropy,hrv_svd_entropy,scl_mean,scl_std,scl_min,scl_max,scl_ptp,scl_sum,scl_energy,scl_skewness,scl_kurtosis,scl_peaks,scl_rms,scl_lineintegral,scl_n_above_mean,scl_n_below_mean,scl_n_sign_changes,scl_iqr,scl_iqr_5_95,scl_pct_5,scl_pct_95,scl_entropy,scl_perm_entropy,scl_svd_entropy,scr_mean,scr_std,scr_min,scr_max,scr_ptp,scr_sum,scr_energy,scr_skewness,scr_kurtosis,scr_peaks,scr_rms,scr_lineintegral,scr_n_above_mean,scr_n_below_mean,scr_n_sign_changes,scr_iqr,scr_iqr_5_95,scr_pct_5,scr_pct_95,scr_entropy,scr_perm_entropy,scr_svd_entropy
Linea eval Iter 0,-0.00012031603010573266,-0.0018782669144285502,0.001046081039530522,-3.3421119473575622e-06,0.00021055305268505298,-0.00038768498589628053,-3.342111947379767e-05,-0.0001270002540005033,-0.00023394783631672245,-0.0001370265898426315,0.007456251754608789,-1.3368447789513516e-05,-0.005019852144967446,-0.004361456091333232,-0.00014036870179001681,0.00033755330668558403,0.000297447963316988,0.000795422643476873,3.342111947385318e-06,0.0,-3.342111947379767e-05,-0.00033421119473817096,0.010688074007726978,-0.02398967955830647,-0.027248238707003714,-0.025871288584682406,0.001620924294480186,-0.02236207103993154,-0.02711455422910844,6.684223894770636e-06,-7.686857478977904e-05,0.0,0.010544363193989548,0.01095878507546491,0.010935390291833241,-0.02511597128457413,-0.0001370265898426315,0.001667713861743525,0.002646952662326396,-0.027642607916794765,-0.02545686670320707,-0.024868655000467893,0.000461211448738702,-3.3421119473575622e-06,0.0006884750611606538,0.0014070291298477478,0.00012365814205314574,9.692124647409095e-05,7.68685747898068e-05,-0.002001925056481668,-0.0007987647554242305,-3.007900752641235e-05,-4.678956726333894e-05,-5.0131679210724256e-05,-0.004719062069703073,-0.025186155635469165,0.007339277836450414,-0.025249655762469403,3.342111947385318e-06,-0.00013368447789524618,-0.00018715826905335575,-8.02106867371366e-05,-7.686857478977904e-05,-4.01053433685683e-05,3.0079007526440105e-05,-0.00015373714957955809
Linea eval Iter 1,-0.00011363180621096203,-0.0018916353622180915,0.0010226862558988525,0.0,0.00019718460489553946,-0.00036094809031722574,-3.342111947379767e-05,-0.0001270002540005033,-0.00019050038100074107,-0.00015039503763217277,0.007352646284239955,-1.3368447789513516e-05,-0.005106747055599353,-0.004000508001015979,-0.00013034236594788862,0.0003342111947381987,0.00028073740358008914,0.0008188174271085424,-1.3368447789513516e-05,0.0,-2.339478363166947e-05,-0.00030413218721173085,0.010544363193989548,-0.024213601058781065,-0.026987553975107936,-0.025717551435102848,0.0016643717497961397,-0.021947649158456206,-0.027361870513214703,3.342111947385318e-06,-8.689491063190724e-05,0.0,0.010721495127200803,0.010674705559937436,0.011165996016202578,-0.024922128791626003,-9.69212464740632e-05,0.0016342927422696996,0.0026970843415371204,-0.027756239723005754,-0.025296445329732742,-0.025273050546101072,0.0004578693367913167,-6.68422389474288e-06,0.0007051856208975804,0.0014404502493215732,7.352646284242148e-05,0.00013702658984265925,9.692124647409095e-05,-0.0018983195861128344,-0.0007386067403713503,-4.678956726333894e-05,-5.0131679210724256e-05,-3.6763231421182985e-05,-0.0043714824271753605,-0.025359945456733007,0.007292488269187075,-0.024861970776573122,3.342111947385318e-06,-0.00016042137347430097,-0.00014036870179001681,-7.686857478977904e-05,-0.00010360547036883383,-2.005267168428415e-05,3.676323142121074e-05,-0.00015373714957955809
Linea eval Iter 2,-0.00010694758231619139,-0.001981872384797384,0.0010126599200566966,-3.3421119473575622e-06,0.0002038688287903101,-0.00036429020226461106,-3.342111947379767e-05,-0.00010026335842144851,-0.0002506583960536213,-0.00013034236594788862,0.007396093739555909,-1.3368447789513516e-05,-0.005283878988810609,-0.003980455329331695,-0.00013034236594788862,0.0003442375305803269,0.0002874216274748598,0.0008288437629506984,-6.68422389474288e-06,0.0,-3.342111947379767e-05,-0.0002673689557905201,0.010701442455516491,-0.024457575230939915,-0.027194764915845604,-0.025824499017419067,0.0017780035560071294,-0.021529885165033485,-0.026773658810475498,0.0,-5.347379115808182e-05,0.0,0.010738205686937702,0.010637942328516253,0.0107549162466746,-0.024821865433204526,-8.02106867371366e-05,0.00161089795863803,0.002710452789326634,-0.027846476745585047,-0.025476919374891355,-0.025289761105838,0.00046455356068608733,-3.3421119473575622e-06,0.0006817908372659109,0.0014003449059529771,9.357913452670563e-05,0.00011363180621098978,6.015801505288021e-05,-0.0019885566086921547,-0.0007486330762135063,-4.01053433685683e-05,-5.347379115808182e-05,-5.347379115808182e-05,-0.0045920618157025694,-0.025376656016469906,0.007101987888186306,-0.025279734769995843,-2.005267168428415e-05,-0.0001270002540005033,-0.00012031603010573266,-6.684223894762309e-05,-0.0001570792615269434,-4.678956726333894e-05,2.6736895579054787e-05,-0.00013368447789524618
Linea eval Iter 3,-0.00010026335842144851,-0.0019484512653235586,0.0010561073753726502,0.0,0.0001838161571059982,-0.00036429020226461106,-3.007900752641235e-05,-0.00010026335842144851,-0.00019050038100074107,-0.00016042137347430097,0.007392751627608524,-1.3368447789513516e-05,-0.004986431025493621,-0.004174297822279849,-0.0001370265898426315,0.0003308690827908134,0.00028073740358008914,0.000795422643476873,-2.005267168428415e-05,0.0,-3.342111947379767e-05,-0.00030413218721173085,0.010641284440463639,-0.024440864671203016,-0.027291686162319667,-0.025633998636418326,0.001714503429006864,-0.021847385800034758,-0.027084475221582,3.342111947385318e-06,-6.684223894762309e-05,0.0,0.01054102108204219,0.010574442201515988,0.010935390291833241,-0.0249388393513629,-0.00021055305268505298,0.0014003449059529771,0.0024464259454834714,-0.02759247623758404,-0.02545686670320707,-0.02487868133631002,0.00044784300094916074,-6.68422389474288e-06,0.0007152119567397086,0.0014003449059529771,0.00010694758231621915,0.0001470529256848152,0.00013368447789527393,-0.002008609280376439,-0.0007720278598451757,-3.6763231421182985e-05,-5.0131679210724256e-05,-6.0158015052852454e-05,-0.004735772629439972,-0.025256339986364174,0.007021777201449142,-0.025500314158523052,-3.007900752641235e-05,-0.00015373714957955809,-0.00014036870179001681,-8.02106867371366e-05,-9.357913452667788e-05,-2.6736895579054787e-05,2.3394783631697225e-05,-0.00015373714957955809
Linea eval Iter 4,-0.00011363180621096203,-0.001894977474165449,0.0010293704797935954,0.0,0.0002172372765798236,-0.0003776586500541246,-3.342111947379767e-05,-0.00012365814205311798,-0.0001570792615269434,-0.00013368447789524618,0.0073726989559242395,-1.6710559736898833e-05,-0.00506998382417817,-0.003943692097910512,-0.0001370265898426315,0.00032418485889604276,0.00031415852305391456,0.000795422643476873,3.342111947385318e-06,0.0,-2.6736895579054787e-05,-0.0003275269708434003,0.010524310522305264,-0.0241501009317808,-0.02715800168442442,-0.025747630442629288,0.0016710559736909103,-0.02235538681603677,-0.02715131746052965,-3.3421119473575622e-06,-6.684223894762309e-05,0.0,0.010641284440463639,0.010661337112147923,0.011025627314412534,-0.025242971538574632,-0.0001570792615269434,0.001677740197585681,0.002479847064957297,-0.02764595002874215,-0.025470235150996612,-0.02503241848588958,0.0004578693367913167,-3.3421119473575622e-06,0.0006650802775289844,0.0014404502493215732,8.6894910631935e-05,4.010534336859606e-05,7.68685747898068e-05,-0.0019785302728499987,-0.0006884750611606261,-3.342111947379767e-05,-6.0158015052852454e-05,-5.6815903105467136e-05,-0.004638851382965908,-0.025450182479312328,0.007148777455449673,-0.02546355092710184,1.3368447789541271e-05,-0.00012365814205311798,-0.00016042137347430097,-8.689491063190724e-05,-0.00010026335842144851,-2.339478363166947e-05,2.6736895579054787e-05,-0.00014036870179001681
Linea eval Iter 5,-9.69212464740632e-05,-0.0019317407055866598,0.00102602836784621,-3.3421119473575622e-06,0.0002172372765798236,-0.00036094809031722574,-2.6736895579054787e-05,-0.00014705292568478745,-0.0001570792615269434,-0.00014705292568478745,0.0074963570979773575,-1.3368447789513516e-05,-0.004856088659545732,-0.003830060291699522,-0.00014036870179001681,0.00035092175447509755,0.00029410585136960266,0.0008021068673716436,3.342111947385318e-06,0.0,-3.6763231421182985e-05,-0.0002640268438431348,0.010688074007726978,-0.024374022432255366,-0.027164685908319164,-0.02586794647273505,0.0016710559736909103,-0.02221167600229937,-0.02698421186316055,-3.3421119473575622e-06,-9.023702257929256e-05,0.0,0.010781653142253655,0.010791679478095811,0.010764942582516757,-0.025249655762469403,-0.0001671055973690716,0.001544055719690407,0.0026536368862211668,-0.02740197585658327,-0.025560472173575904,-0.0251226555084689,0.00045118511289654606,0.0,0.0007118698447923233,0.0014170554656899037,0.00010026335842147627,0.00011028969426360447,8.6894910631935e-05,-0.00202197772816598,-0.0007319225164766074,-4.678956726333894e-05,-4.344745531595362e-05,-4.01053433685683e-05,-0.004565324920123515,-0.025390024464259447,0.006958277074448904,-0.025289761105838,-3.3421119473575622e-06,-0.00013368447789524618,-0.00018047404515861287,-8.355279868452192e-05,-3.6763231421182985e-05,-6.68422389474288e-06,3.342111947382542e-05,-0.00016042137347430097
Linea eval Iter 6,-0.00011028969426357671,-0.0019618197131131,0.0010661337112148062,-6.68422389474288e-06,0.00019050038100076883,-0.00039102709784366585,-3.007900752641235e-05,-0.00012031603010573266,-0.00021723727657979586,-0.00013368447789524618,0.007446225418766633,-1.6710559736898833e-05,-0.005059957488336014,-0.004194350493964133,-0.00014036870179001681,0.00035426386642248286,0.00029410585136960266,0.0008121332032137996,-3.007900752641235e-05,0.0,-2.6736895579054787e-05,-0.00030413218721173085,0.010657995000200537,-0.024166811491517698,-0.027164685908319164,-0.025734261994839774,0.0015707926152694618,-0.022335334144352487,-0.02725826504284587,0.0,-6.350012700023777e-05,0.0,0.010517626298410493,0.010567757977621245,0.010875232276780361,-0.024841918104888838,-0.00011028969426357671,0.0016743980856382956,0.0025734261994840024,-0.0277295028274267,-0.02561060385278663,-0.0249388393513629,0.00044784300094916074,-3.3421119473575622e-06,0.0007720278598452035,0.0014304239134794172,0.00012365814205314574,6.684223894765084e-05,0.00012031603010576042,-0.002058740959587163,-0.0007252382925818368,-4.01053433685683e-05,-4.678956726333894e-05,-5.347379115808182e-05,-0.004384850874964902,-0.025356603344785622,0.006904803283290795,-0.025359945456733007,1.671055973692659e-05,-0.0001570792615269434,-0.00015039503763217277,-8.689491063190724e-05,-0.0001270002540005033,-2.339478363166947e-05,3.342111947382542e-05,-0.00014036870179001681
Linea eval Iter 7,-0.00011363180621096203,-0.0020654251834819337,0.0009758966886354858,-3.3421119473575622e-06,0.00019384249294815414,-0.0003810007620015099,-3.007900752641235e-05,-0.00011363180621096203,-0.0001971846048955117,-0.0001270002540005033,0.007366014732029469,-2.005267168428415e-05,-0.004959694129914566,-0.003789954948330926,-0.00014036870179001681,0.00034757964252771223,0.00031081641110652924,0.0007753699717925888,3.342111947385318e-06,0.0,-3.007900752641235e-05,-0.00030747429915911617,0.01031375746962021,-0.02420357472293891,-0.027047711990160817,-0.025543761613839006,0.0015674505033220765,-0.022609387324037805,-0.026823790489686222,3.342111947385318e-06,-7.352646284239372e-05,0.0,0.01045078405946287,0.010741547798885087,0.010791679478095811,-0.025059155381468634,-0.00017713193321122755,0.0015941873989011313,0.0026402684384316255,-0.027492212879162592,-0.02567744609173428,-0.025222918866890348,0.00046789567263347265,-1.0026335842128198e-05,0.0006985013970028098,0.0014605029210058573,0.00010360547036886159,0.00012700025400053105,2.6736895579054787e-05,-0.001905003810007605,-0.0008255016510032853,-5.0131679210724256e-05,-5.0131679210724256e-05,-4.344745531595362e-05,-0.004575351255965671,-0.025222918866890348,0.007098645776238921,-0.0254334719195754,-2.6736895579054787e-05,-0.00013368447789524618,-0.0001370265898426315,-8.355279868452192e-05,-0.00011028969426357671,-1.6710559736898833e-05,3.342111947382542e-05,-0.00014371081373740213
Linea eval Iter 8,-0.00011363180621096203,-0.002008609280376439,0.0010494231514779073,-6.68422389474288e-06,0.00022057938852720893,-0.00037431653810673926,-3.342111947379767e-05,-0.00015039503763217277,-0.00020052671684289702,-0.00016042137347430097,0.00746293597850356,-1.6710559736898833e-05,-0.004996457361335749,-0.0038233760678047513,-0.0001270002540005033,0.00032084274694865744,0.0002707110677379332,0.0008121332032137996,-1.0026335842128198e-05,0.0,-4.01053433685683e-05,-0.00031750063500124437,0.010273652126251642,-0.02407991658088579,-0.02728165982647754,-0.025827841129366452,0.0015875031750063606,-0.02237878159966844,-0.0270677646618451,-3.3421119473575622e-06,-7.352646284239372e-05,0.0,0.010768284694464142,0.010557731641779089,0.011008916754675635,-0.025132681844311056,-0.00018047404515861287,0.0015574241674799205,0.0026068473189578,-0.027749555499110984,-0.02565405130810261,-0.02526636632220633,0.00044784300094916074,-3.3421119473575622e-06,0.0007352646284240205,0.0014772134807427562,9.692124647409095e-05,4.6789567263366694e-05,5.3473791158109574e-05,-0.0019985829445343106,-0.0007352646284239928,-4.678956726333894e-05,-6.0158015052852454e-05,-5.0131679210724256e-05,-0.004996457361335749,-0.025490287822680896,0.0069616191863962895,-0.02526636632220633,-3.3421119473575622e-06,-0.00011363180621096203,-0.00021723727657979586,-7.352646284239372e-05,-9.69212464740632e-05,-3.007900752641235e-05,2.6736895579054787e-05,-0.0001570792615269434
Linea eval Iter 9,-0.00011028969426357671,-0.00181810889937567,0.0010728179351095768,3.342111947385318e-06,0.00020721094073769541,-0.00037097442615935394,-3.342111947379767e-05,-0.00011697391815834735,-0.0001671055973690716,-0.00013368447789524618,0.007452909642661404,-2.005267168428415e-05,-0.004578693367913028,-0.0042077189417536465,-0.00012031603010573266,0.00031415852305391456,0.00029410585136960266,0.0008255016510033131,6.684223894770636e-06,0.0,-3.342111947379767e-05,-0.00031750063500124437,0.01036054703688355,-0.0241333903720439,-0.027010948758739606,-0.02586794647273505,0.00161089795863803,-0.022194965442562442,-0.026867237945002204,3.342111947385318e-06,-6.684223894762309e-05,0.0,0.010738205686937702,0.01086854805288559,0.011182706575939477,-0.025222918866890348,-0.00013368447789524618,0.001534029383848251,0.002683715893747579,-0.027930029544269597,-0.02531984011336441,-0.02521289253104822,0.0004344745531596472,-3.3421119473575622e-06,0.0007419488523187634,0.001447134473216316,9.023702257932031e-05,6.015801505288021e-05,5.3473791158109574e-05,-0.0019417670414288157,-0.000698501397002782,-2.339478363166947e-05,-4.01053433685683e-05,-4.344745531595362e-05,-0.004795930644492852,-0.025376656016469906,0.007138751119607517,-0.025049129045626506,-1.3368447789513516e-05,-0.00017713193321122755,-0.00014036870179001681,-7.686857478977904e-05,-0.00014371081373740213,-3.007900752641235e-05,2.6736895579054787e-05,-0.00016042137347430097
